Block,Gram Panchayat,Village,Beneficiary_Count
Bijatala,Khanta,Pithakutuni,29
Bijatala,Khanta,Tikarpada,26
Bijatala,Luhashila,Betajharan,33
Bijatala,Luhasila,Dalki,29
Bijatala,Luhasila,Jamda,4
Bijatala,Luhasila,Kalajhari,6
Bijatala,Madheikacha,Dalki,11
Bijatala,Madheikacha,Kaduani,27
Bijatala,Madheikacha,Khejuri,68
Bijatala,Madheikacha,Madheikacha,10
Bijatala,Manikpur,Amdabeda,5
Bijatala,Manikpur,Bandhgan,49
Bijatala,Manikpur,Bantaligoda,12
Bijatala,Manikpur,Kundurikacha,3
Bijatala,Manikpur,Manikpur,26
Bijatala,Manikpur,Nuagan,34
Bijatala,Manikpur,Paunsia,29
Bijatala,Raihari,Atnabeda,18
Bijatala,Raihari,Bagdega,23
Bijatala,Raihari,Bataduma,18
Bijatala,Raihari,Bhadubeda,2
Bijatala,Raihari,Dumadihi,4
Bijatala,Raihari,Jaldiha,6
Bijatala,Raihari,Jamudali,16
Bijatala,Raihari,Jodachua,15
Bijatala,Raihari,Palasbani,12
Bijatala,Raihari,Raihari,10
Bijatala,Raihari,Sanbelpahadi,6
Bijatala,Raihari,Teltangia,14
Bijatala,Raihari,Tulsibani,32
Bijatala,Saragoda,Sapghera,25
Bijatala,Saragoda,Tunguru,1
Bijatala,Sargoda,Badabantha,9
Bijatala,Sargoda,Bhejidihi,19
Bijatala,Sargoda,Heselgoda,28
Bijatala,Sargoda,Kadatamak,29
Bijatala,Sargoda,Lado,17
Bijatala,Sargoda,Sanbantha,19
Bijatala,Sargpda,Hatisal,6
Biso,Bautibeda,Osadola,1
Bisoi,Asana,Arjunbila,17
Bisoi,Asana,Babeijoda,3
Bisoi,Asana,Bankidihi,3
Bisoi,Asana,Bhatchatra,4
Bisoi,Asana,Kasipani,3
Bisoi,Asana,Kendumara,14
Bisoi,Asana,Khadiasole,7
Bisoi,Asana,Kuilisuta,3
Bisoi,Asana,Majhigan,4
Bisoi,Asana,Palogoda,36
Bisoi,Asana,Raikadkacha,40
Bisoi,Asana,San Rangamatia,13
Bisoi,Asana,Talak Budi,31
Bisoi,Asana,Talakbudi,3
Bisoi,Asana,Tolakbadi,12
Bisoi,Asana,arjunbila,1
Bisoi,"Asana
Asana",Arjunbila,2
Bisoi,BAUTIBEDA,OSHADALA,23
Bisoi,Bad Manada,Alhapani,12
Bisoi,Bad Manada,Andharjhari,10
Bisoi,Bad Manada,Hatichad,12
Bisoi,Bad Manada,Kesam,13
Bisoi,Bad Manada,Radhanagar,15
Bisoi,Bad Manada,Tambajhari,23
Bisoi,Badamanda,Jambani,1
Bisoi,Badmanada,Alhapani,1
Bisoi,Badmanada,Andharjhari,12
Bisoi,Badmanada,Badmanada,24
Bisoi,Badmanada,Budamara,160
Bisoi,Badmanada,Budhikhamari,30
Bisoi,Badmanada,Chadheipahadi,18
Bisoi,Badmanada,Jamubani,15
Bisoi,Badmanada,Kesam,32
Bisoi,Badmanada,Nuagaon,2
Bisoi,Badmanada,Radha Nagar,87
Bisoi,Badmanada,Raliabindha,34
Bisoi,Badmanada,Rengalbeda,36
Bisoi,Badmanada,San Nalua,4
Bisoi,Badmanada,Sanmanada,15
Bisoi,Badmanada,Tambajhari,48
Bisoi,Badmanada,Tambajhari (Ralia Bindha),3
Bisoi,Badmanda,Jambani,18
Bisoi,Badmanda,Rengalbeda,11
Bisoi,BaneiKala,Gunduria,1
Bisoi,Baneikala,Baneikala,4
Bisoi,Baneikala,Gunduria,24
Bisoi,Baneikala,Jamujhari,21
